Date,bingo,kermit,maia,paris,sally,phoebe,islands,thepad,bill,Bill
2025-08-06 00:00:00,0,1,1,1,0,0,2,0,0,0,0
2025-08-07 00:00:00,0,1,0,1,0,0,1,1,0,0,0
2025-08-08 00:00:00,0,2,0,0,0,0,1,1,0,0,0
2025-08-09 00:00:00,0,1,0,0,0,0,0,0,0,0,0
2025-08-10 00:00:00,0,1,0,0,0,0,0,0,0,0,0
2025-08-11 00:00:00,0,0,0,0,0,0,0,1,0,0,0
2025-08-12 00:00:00,0,2,0,1,0,0,1,0,0,0,0
2025-08-13 00:00:00,0,0,0,1,0,0,0,1,0,0,0
2025-08-14 00:00:00,0,3,0,1,0,0,0,0,0,0,0
2025-08-15 00:00:00,0,1,0,1,0,0,0,1,0,0,0
2025-08-16 00:00:00,1,0,0,1,0,0,0,0,0,0,0
2025-08-17 00:00:00,0,0,0,1,0,0,0,0,0,0,0
2025-08-18 00:00:00,0,0,0,0,0,0,0,1,0,0,0
2025-08-19 00:00:00,0,0,0,0,0,0,1,0,0,0,0
2025-08-20 00:00:00,0,1,0,0,0,0,0,0,0,0,0
2025-08-22 00:00:00,0,1,0,0,0,0,0,3,0,0,0
2025-08-23 00:00:00,0,1,0,1,0,0,1,1,0,0,0
2025-08-24 00:00:00,0,0,0,0,0,0,0,2,0,0,0
2025-08-25 00:00:00,1,0,0,1,0,0,0,0,0,0,0
2025-08-26 00:00:00,0,1,0,1,0,0,1,0,0,0,0
2025-08-27 00:00:00,0,1,0,1,0,0,0,0,0,0,0
2025-08-28 00:00:00,0,0,0,0,0,0,0,0,0,0,1
2025-08-29 00:00:00,0,0,0,0,0,0,0,1,0,0,0
2025-08-30 00:00:00,0,0,0,0,0,0,1,0,0,0,0
2025-08-31 00:00:00,0,1,0,3,0,0,1,1,0,0,0
2025-09-01 00:00:00,0,0,0,1,0,0,0,1,0,0,0
2025-09-02 00:00:00,0,0,0,0,0,0,0,1,0,0,0
2025-09-03 00:00:00,0,1,0,0,0,0,0,1,0,0,0
2025-09-04 00:00:00,0,0,0,0,0,0,1,0,0,0,0
2025-09-05 00:00:00,0,0,0,0,0,0,0,2,0,0,0
