Date,Total
2025-05-18 00:00:00,0.1424
2025-05-19 00:00:00,0.1432
2025-05-20 00:00:00,0.1435
2025-05-21 00:00:00,0.1443
2025-05-24 00:00:00,0.1460
2025-05-25 00:00:00,0.1465
2025-05-28 00:00:00,0.1468
2025-05-29 00:00:00,0.1484
2025-05-30 00:00:00,0.1490
2025-05-31 00:00:00,0.1498
2025-06-02 00:00:00,0.1507
2025-06-10 00:00:00,0.1516
2025-06-12 00:00:00,0.1519
2025-06-13 00:00:00,0.1525
2025-06-14 00:00:00,0.1530
2025-06-15 00:00:00,0.1538
2025-06-16 00:00:00,0.1544
2025-06-17 00:00:00,0.1549
2025-06-18 00:00:00,0.1552
2025-06-21 00:00:00,0.1555
2025-06-23 00:00:00,0.1566
2025-06-25 00:00:00,0.1571
2025-06-26 00:00:00,0.1577
2025-06-28 00:00:00,0.1585
2025-06-30 00:00:00,0.1588
2025-07-01 00:00:00,0.1591
2025-07-02 00:00:00,0.1599
2025-07-04 00:00:00,0.1605
2025-07-06 00:00:00,0.1608
2025-07-07 00:00:00,0.1613
2025-07-08 00:00:00,0.1646
2025-07-09 00:00:00,0.1649
2025-07-11 00:00:00,0.1664
2025-07-14 00:00:00,0.1672
2025-07-16 00:00:00,0.1674
2025-07-17 00:00:00,0.1680
2025-07-18 00:00:00,0.1688
2025-07-20 00:00:00,0.1696
2025-07-22 00:00:00,0.1702
2025-07-23 00:00:00,0.1710
2025-07-25 00:00:00,0.1715
2025-07-27 00:00:00,0.1732
2025-07-28 00:00:00,0.1744
2025-07-30 00:00:00,0.1753
2025-07-31 00:00:00,0.1763
2025-08-02 00:00:00,0.1768
2025-08-05 00:00:00,0.1786
2025-08-06 00:00:00,0.1798
2025-08-12 00:00:00,0.1804
2025-08-13 00:00:00,0.1810
2025-08-14 00:00:00,0.1815
2025-08-19 00:00:00,0.1818
2025-08-23 00:00:00,0.1824
2025-08-24 00:00:00,0.1841
2025-08-25 00:00:00,0.1843
2025-08-26 00:00:00,0.1846
2025-08-27 00:00:00,0.1855
2025-08-29 00:00:00,0.1857
2025-08-31 00:00:00,0.1860
2025-09-01 00:00:00,0.1863
